192.168.10.208 amazon-plug
192.168.10.206 amcrest-cam-wired
192.168.10.191 appletv-wifi
192.168.10.162 aqara-hub
192.168.10.203 arlo-doorbell
192.168.10.173 arlo-q-cam
192.168.10.169 blueair-purifier
192.168.10.243 brewer
192.168.10.194 bulb1
192.168.10.105 chromecast-googletv
192.168.10.158 dlink-camera
192.168.10.157 dryer
192.168.10.226 echodot
192.168.10.130 echodot3a
192.168.10.240 echodot3b
192.168.10.238 echodot3c
192.168.10.249 echodot3d
192.168.10.236 echodot4a
192.168.10.192 echoflex1
192.168.10.176 echoflex2
192.168.10.129 echoplus
192.168.10.148 echoshow5
192.168.10.182 echospot
192.168.10.178 facebook-portal-mini
192.168.10.151 firetv
192.168.10.207 fridge
192.168.10.180 google-home-mini
192.168.10.102 google-home-mini2
192.168.10.106 google-home-mini3
192.168.10.228 google-nest-mini1
192.168.10.163 google-nest-mini2
192.168.10.214 gosund-bulb1
192.168.10.156 govee-led1
192.168.10.107 homepod
192.168.10.190 homepod-mini1
192.168.10.122 homepod-mini2
192.168.10.128 icsee-doorbell
192.168.10.185 ikea-hub
192.168.10.195 ikettle
192.168.10.201 keyco-air
192.168.10.217 lefun-cam-wired
192.168.10.161 lgtv-wired
192.168.10.149 magichome-strip
192.168.10.216 meross-dooropener
192.168.10.138 microseven-camera
192.168.10.111 microwave
192.168.10.226 nest-camera
192.168.10.230 nest-doorbell
192.168.10.154 nest-hub-max
192.168.10.121 nest-tstat
192.168.10.137 nintendo-switch
192.168.10.248 oxylink
192.168.10.231 ring-camera
192.168.10.215 ring-chime1
192.168.10.179 ring-doorbell
192.168.10.232 ring-doorbell-wired
192.168.10.229 ring-indoor-cam
192.168.10.189 roku-tv
192.168.10.235 smartlife-bulb
192.168.10.197 smartthings-hub
192.168.10.135 sousvide
192.168.10.143 switchbot-hub
192.168.10.125 t-echodot
192.168.10.164 t-philips-hub
192.168.10.188 t-wemo-plug
192.168.10.245 thermopro-sensor
192.168.10.198 tivostream
192.168.10.223 tplink-bulb
192.168.10.184 tplink-plug
192.168.10.160 tuya-camera
192.168.10.139 ubell-doorbell
192.168.10.183 wansview-cam-wired
192.168.10.177 washer
192.168.10.191 withings-bpm
192.168.10.157 withings-sleep
192.168.10.121 withings-thermo
192.168.10.110 wyze-cam
192.168.10.112 xiaomi-induction
192.168.10.202 xiaomi-ricecooker
192.168.10.220 yi-camera
